Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HomeOVA,HomeATT,HomeMID,HomeDEF,AwayOVA,AwayATT,AwayMID,AwayDEF,OVA_diff
2022-02-19,Brighton,Burnley,0.0,3.0,A,76,77,75,76,76,77,75,76,0
2022-02-19,Crystal Palace,Chelsea,0.0,1.0,A,76,76,76,75,84,83,86,83,-8
2022-02-19,Liverpool,Norwich,3.0,1.0,H,85,86,84,85,73,75,73,73,12
2022-02-19,Southampton,Everton,2.0,0.0,H,76,75,77,76,78,78,78,77,-2
2022-02-19,Man City,Tottenham,2.0,3.0,A,85,84,87,86,81,83,80,79,4
2022-02-20,Leeds,Man United,2.0,4.0,A,76,77,78,75,83,85,83,81,-7
2022-02-20,Wolves,Leicester,2.0,1.0,H,78,79,80,78,80,80,81,79,-2
2022-02-23,Burnley,Tottenham,1.0,0.0,H,76,77,75,76,81,83,80,79,-5
2022-02-23,Watford,Crystal Palace,1.0,4.0,A,74,75,75,73,76,76,76,75,-2
2022-02-23,Liverpool,Leeds,6.0,0.0,H,85,86,84,85,76,77,78,75,9
2022-02-24,Arsenal,Wolves,2.0,1.0,H,80,82,80,77,78,79,80,78,2
2022-02-25,Southampton,Norwich,2.0,0.0,H,76,75,77,76,73,75,73,73,3
2022-02-26,Leeds,Tottenham,0.0,4.0,A,76,77,78,75,81,83,80,79,-5
2022-02-26,Brentford,Newcastle,0.0,2.0,A,74,74,75,74,77,77,77,77,-3
2022-02-26,Crystal Palace,Burnley,1.0,1.0,D,76,76,76,75,76,77,75,76,0
2022-02-26,Man United,Watford,0.0,0.0,D,83,85,83,81,74,75,75,73,9
2022-02-26,Brighton,Aston Villa,0.0,2.0,A,76,77,75,76,78,79,78,79,-2
2022-02-26,Everton,Man City,0.0,1.0,A,78,78,78,77,85,84,87,86,-7
2022-02-27,West Ham,Wolves,1.0,0.0,H,79,80,78,78,78,79,80,78,1
2022-03-01,Burnley,Leicester,0.0,2.0,A,76,77,75,76,80,80,81,79,-4
2022-03-05,Leicester,Leeds,1.0,0.0,H,80,80,81,79,76,77,78,75,4
2022-03-05,Aston Villa,Southampton,4.0,0.0,H,78,79,78,79,76,75,77,76,2
2022-03-05,Burnley,Chelsea,0.0,4.0,A,76,77,75,76,84,83,86,83,-8
2022-03-05,Newcastle,Brighton,2.0,1.0,H,77,77,77,77,76,77,75,76,1
2022-03-05,Norwich,Brentford,1.0,3.0,A,73,75,73,73,74,74,75,74,-1
2022-03-05,Wolves,Crystal Palace,0.0,2.0,A,78,79,80,78,76,76,76,75,2
2022-03-05,Liverpool,West Ham,1.0,0.0,H,85,86,84,85,79,80,78,78,6
2022-03-06,Watford,Arsenal,2.0,3.0,A,74,75,75,73,80,82,80,77,-6
2022-03-06,Man City,Man United,4.0,1.0,H,85,84,87,86,83,85,83,81,2
2022-03-07,Tottenham,Everton,5.0,0.0,H,81,83,80,79,78,78,78,77,3
2022-03-10,Norwich,Chelsea,1.0,3.0,A,73,75,73,73,84,83,86,83,-11
2022-03-10,Southampton,Newcastle,1.0,2.0,A,76,75,77,76,77,77,77,77,-1
2022-03-10,Wolves,Watford,4.0,0.0,H,78,79,80,78,74,75,75,73,4
2022-03-10,Leeds,Aston Villa,0.0,3.0,A,76,77,78,75,78,79,78,79,-2
2022-03-12,Brighton,Liverpool,0.0,2.0,A,76,77,75,76,85,86,84,85,-9
2022-03-12,Brentford,Burnley,2.0,0.0,H,74,74,75,74,76,77,75,76,-2
2022-03-12,Man United,Tottenham,3.0,2.0,H,83,85,83,81,81,83,80,79,2
2022-03-13,Chelsea,Newcastle,1.0,0.0,H,84,83,86,83,77,77,77,77,7
2022-03-13,Everton,Wolves,0.0,1.0,A,78,78,78,77,78,79,80,78,0
2022-03-13,Leeds,Norwich,2.0,1.0,H,76,77,78,75,73,75,73,73,3
2022-03-13,Southampton,Watford,1.0,2.0,A,76,75,77,76,74,75,75,73,2
2022-03-13,West Ham,Aston Villa,2.0,1.0,H,79,80,78,78,78,79,78,79,1
2022-03-13,Arsenal,Leicester,2.0,0.0,H,80,82,80,77,80,80,81,79,0
2022-03-14,Crystal Palace,Man City,0.0,0.0,D,76,76,76,75,85,84,87,86,-9
2022-03-16,Brighton,Tottenham,0.0,2.0,A,76,77,75,76,81,83,80,79,-5
2022-03-16,Arsenal,Liverpool,0.0,2.0,A,80,82,80,77,85,86,84,85,-5
2022-03-17,Everton,Newcastle,1.0,0.0,H,78,78,78,77,77,77,77,77,1
2022-03-18,Wolves,Leeds,2.0,3.0,A,78,79,80,78,76,77,78,75,2
2022-03-19,Aston Villa,Arsenal,0.0,1.0,A,78,79,78,79,80,82,80,77,-2
2022-03-20,Leicester,Brentford,2.0,1.0,H,80,80,81,79,74,74,75,74,6
2022-03-20,Tottenham,West Ham,3.0,1.0,H,81,83,80,79,79,80,78,78,2
2022-04-02,Liverpool,Watford,2.0,0.0,H,85,86,84,85,74,75,75,73,11
2022-04-02,Brighton,Norwich,0.0,0.0,D,76,77,75,76,73,75,73,73,3
2022-04-02,Burnley,Man City,0.0,2.0,A,76,77,75,76,85,84,87,86,-9
2022-04-02,Chelsea,Brentford,1.0,4.0,A,84,83,86,83,74,74,75,74,10
2022-04-02,Leeds,Southampton,1.0,1.0,D,76,77,78,75,76,75,77,76,0
2022-04-02,Wolves,Aston Villa,2.0,1.0,H,78,79,80,78,78,79,78,79,0
2022-04-02,Man United,Leicester,1.0,1.0,D,83,85,83,81,80,80,81,79,3
2022-04-03,West Ham,Everton,2.0,1.0,H,79,80,78,78,78,78,78,77,1
